,in a helpful style,in all upper case,in an angry tone,in spanish,in all lower case,in a kind tone,in a didactic style,in a childish style,in japanese,in english,in a flowery style,in a concise style
about economics,-0.0463436724993139,0.007186343576290352,0.12136917335290857,-0.0025383978212139653,-0.022936056786447227,-0.0035037670589597343,-0.0183693695292268,0.0014038519583533492,0.005445456640576385,-0.19631714145753365,0.027296933768455815,-0.05328221286056332
about music,0.029543424713796708,-0.015116540301385865,-0.023894901585463726,0.07891323162650585,-0.3529747296523041,-0.030373460282033096,0.03956158880750556,0.2051865172148364,-0.22296558116549345,0.03393919267038215,0.04279262480325859,-0.06647804541084557
about computer science,0.01466591249425073,0.009454948822121093,0.012230126399140145,-0.02682752862203023,0.4498394916958297,0.009877504298135322,0.03153771086600055,0.07133110841836843,0.0772703283030442,-0.009713548790300024,0.05818785239887123,0.048662200442617314
about celebrities,-0.010090907728138032,0.03144027812680972,0.07087698394299201,0.053239023270407033,-0.12347838149104137,-0.02051842670196436,0.002337083059809804,-0.0907062693267263,0.04134644017296821,0.1137577484448154,0.015126100965545255,-0.013817578200603226
about politics,0.042397105905154255,0.018168050460185048,-0.26648501853953266,0.062077675089614794,-0.0055949770188799125,-0.005800168095378799,-0.022931236811877025,-0.10163301687502095,0.035004333658015,0.008856577929572774,0.010284607417874453,0.014474728993728009
about effective altruism,-0.0725905321178246,-0.01694371685500917,0.0872886860547729,0.015193979473594325,0.07862101469917956,-0.029065152725287393,-0.03958206212353467,0.14547657487049243,0.09699469377562589,0.054211519118893894,0.01728295463287072,-0.06386853114844017
about poetry,-0.012289354867792257,0.01043007737297362,0.09233300963627128,0.004692634191677708,0.0683001881337118,-0.08604015534742933,0.008102720650662653,0.01517891895641807,0.11640838694992763,0.014932184052717904,0.02222913157058493,0.009652562141782135
about science fiction,-0.028859070994385387,0.061614167454345614,-0.2150138895725066,0.009057260449022345,0.05785738506317508,0.0011710758729320536,-0.002512189287588144,0.08856076233151469,-0.017361091274565553,-0.010596750867083744,-0.03180788275656957,-0.010036590730294469
about vacation,0.06704749353185495,0.05003589363449071,0.07327943265714454,-0.04968792342727887,0.03231711516979569,-0.06021298062806592,0.07917301269829635,-0.26301132978900205,-0.004178251764817568,0.025056658913919783,0.001272909242886526,0.11968087473701819
about american football,0.016663104938856914,-0.06084601505354384,0.1614051192387027,-0.045985457945128566,0.024045059991908355,-0.023122288988567035,0.007034408359380054,0.045163203452026096,0.005088563518997105,-0.08707796669792686,0.00892841543925039,-0.03731929290887874
